url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,22,7
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,10,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,9,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,8,3
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,5,2
/systemsomicslab/MassBank-RDF/blob/main/script/massbank_txt2ttl.R,5,2
/systemsomicslab/MassBank-RDF/wiki/SPARQL-queries,4,3
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,4,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,3,2
/systemsomicslab/MassBank-RDF/tree/main/SPARQL,3,2
