url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,1,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001.ttl,1,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,1,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,1,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,1,1
