url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,32,11
/systemsomicslab/MassBank-RDF,32,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,21,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,20,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/rdf-config/model.yaml,9,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,8,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/IPB_Halle,6,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,5,3
/systemsomicslab/MassBank-RDF/edit/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,5,1
/systemsomicslab/MassBank-RDF/upload,5,1
