url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,34,11
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,29,9
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,21,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,20,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,20,4
/systemsomicslab/MassBank-RDF/issues,14,1
/systemsomicslab/MassBank-RDF/tree/main,12,4
/systemsomicslab/MassBank-RDF/blob/main/script/massbank_txt2ttl.R,11,5
/systemsomicslab/MassBank-RDF/wiki/SPARQL-queries,11,3
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/schema.svg,6,3
