url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,31,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,30,3
/systemsomicslab/MassBank-RDF,24,9
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC_BY_SA,13,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC_BY_SA/AAFC1,12,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,11,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC0,11,2
/systemsomicslab/MassBank-RDF/tree/main,7,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/CC_BY_SA/AAFC1/MSBNK-AAFC-AC000001.ttl,6,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC_BY,6,1
