time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,25,7,0,0
2026-04-10 00:00:00+00:00,9,4,0,0
2026-04-11 00:00:00+00:00,17,7,0,0
2026-04-12 00:00:00+00:00,18,9,2,2
2026-04-13 00:00:00+00:00,25,8,0,0
2026-04-14 00:00:00+00:00,21,7,0,0
2026-04-15 00:00:00+00:00,25,8,9,1
2026-04-16 00:00:00+00:00,10,5,7,1
2026-04-17 00:00:00+00:00,20,7,2,2
2026-04-18 00:00:00+00:00,26,10,0,0
2026-04-19 00:00:00+00:00,19,8,0,0
2026-04-20 00:00:00+00:00,36,19,0,0
2026-04-21 00:00:00+00:00,70,23,0,0
2026-04-22 00:00:00+00:00,74,26,5,3
