time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,27,9,0,0
2026-05-24 00:00:00+00:00,3,3,0,0
2026-05-25 00:00:00+00:00,12,3,0,0
2026-05-26 00:00:00+00:00,21,7,2,2
2026-05-27 00:00:00+00:00,13,4,0,0
2026-05-28 00:00:00+00:00,16,6,0,0
2026-05-29 00:00:00+00:00,20,11,1,1
2026-05-30 00:00:00+00:00,22,13,0,0
2026-05-31 00:00:00+00:00,29,20,0,0
2026-06-01 00:00:00+00:00,23,14,1,1
2026-06-02 00:00:00+00:00,8,8,0,0
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,14,5,0,0
2026-06-05 00:00:00+00:00,5,5,0,0
