url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/model.yaml,73,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,67,12
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,33,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,33,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/schema.svg,21,8
/systemsomicslab/MassBank-RDF,21,5
/systemsomicslab/MassBank-RDF/edit/main/draft_ttl/ogawa/model.yaml,16,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/steffen/MSBNK-CASMI_2016-SM827751.ttl,8,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/steffen,8,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/prefix.yaml,6,1
