url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,50,13
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,24,6
/systemsomicslab/MassBank-RDF,21,10
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001-oka.ttl,20,4
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/model.yaml,17,6
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/schema.svg,16,6
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/parse_ttl.py,10,4
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001.ttl,7,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/steffen,7,4
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/prefix.yaml,7,3
