time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-25 00:00:00+00:00,,,36,2
2024-08-26 00:00:00+00:00,16.0,15.0,271,4
2024-08-27 00:00:00+00:00,14.0,11.0,444,12
2024-08-28 00:00:00+00:00,8.0,6.0,120,4
2024-08-29 00:00:00+00:00,,,62,4
2024-08-30 00:00:00+00:00,,,15,4
2024-08-31 00:00:00+00:00,,,5,3
2024-09-01 00:00:00+00:00,2.0,1.0,1,1
2024-09-02 00:00:00+00:00,4.0,4.0,174,4
2024-09-03 00:00:00+00:00,1.0,1.0,28,5
2024-09-04 00:00:00+00:00,2.0,1.0,3,3
2024-09-05 00:00:00+00:00,,,37,2
2024-09-06 00:00:00+00:00,,,57,9
