time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,9,5,0,0
2026-06-11 00:00:00+00:00,15,6,0,0
2026-06-12 00:00:00+00:00,29,11,1,1
2026-06-13 00:00:00+00:00,14,5,0,0
2026-06-14 00:00:00+00:00,18,4,0,0
2026-06-15 00:00:00+00:00,19,6,2,2
2026-06-16 00:00:00+00:00,12,4,0,0
2026-06-17 00:00:00+00:00,25,7,0,0
2026-06-18 00:00:00+00:00,31,10,0,0
2026-06-19 00:00:00+00:00,21,6,7,1
2026-06-20 00:00:00+00:00,38,9,0,0
2026-06-21 00:00:00+00:00,33,9,0,0
2026-06-22 00:00:00+00:00,32,8,0,0
2026-06-23 00:00:00+00:00,52,12,0,0
