url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,115,9
/systemsomicslab/MassBank-RDF,103,9
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,93,4
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,55,4
/systemsomicslab/MassBank-RDF/tree/main/report,49,2
/systemsomicslab/MassBank-RDF/tree/main/report/rdf-doctor,44,2
/systemsomicslab/MassBank-RDF/tree/main/SPARQL,42,4
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,39,5
/systemsomicslab/MassBank-RDF/tree/main,37,6
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/test0827.ttl,37,2
