url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,199,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,123,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,47,5
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_CM.ttl,41,4
/systemsomicslab/MassBank-RDF,41,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_DE.ttl,38,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_EX.ttl,27,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_PK.ttl,26,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_SP.ttl,20,2
/systemsomicslab/MassBank-RDF/tree/main/scripts,20,1
