url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,4,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,4,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,3,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/ogawa,3,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/schema.svg,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/model.yaml,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/schema.svg,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,1,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/prefix.yaml,1,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001.ttl,1,1
