url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,16,5
/systemsomicslab/MassBank-RDF/tree/main/SPARQL,12,1
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,11,3
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/test0827.svg,8,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,6,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,6,1
/systemsomicslab/MassBank-RDF/tree/main,5,3
/systemsomicslab/MassBank-RDF/blob/main/SPARQL/get_compound_names.sparql,5,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,4,3
/systemsomicslab/MassBank-RDF/blob/main/rdf-co,4,2
