url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,27,10
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,20,9
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,20,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,17,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,16,4
/systemsomicslab/MassBank-RDF/blob/main/script/massbank_txt2ttl.R,11,5
/systemsomicslab/MassBank-RDF/tree/main,11,4
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,6,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,5,4
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/schema.svg,5,3
