time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-24 00:00:00+00:00,15,7,146.0,11.0
2025-03-25 00:00:00+00:00,5,2,12.0,7.0
2025-03-26 00:00:00+00:00,7,6,68.0,5.0
2025-03-27 00:00:00+00:00,12,6,81.0,5.0
2025-03-28 00:00:00+00:00,1,1,2.0,2.0
2025-03-29 00:00:00+00:00,4,3,,
2025-03-30 00:00:00+00:00,7,4,,
2025-03-31 00:00:00+00:00,5,2,2.0,2.0
2025-04-01 00:00:00+00:00,3,3,35.0,6.0
2025-04-02 00:00:00+00:00,10,7,22.0,4.0
2025-04-03 00:00:00+00:00,3,2,3.0,3.0
2025-04-04 00:00:00+00:00,4,2,2.0,2.0
2025-04-05 00:00:00+00:00,6,3,,
