url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,25,8
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,17,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,13,5
/systemsomicslab/MassBank-RDF/tree/main,12,6
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,10,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,7,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,4,2
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,4,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,4,1
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,3,2
