url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,39,14
/systemsomicslab/MassBank-RDF,37,8
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,27,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,27,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/rdf-config/model.yaml,12,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/rdf-config,12,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida/IPB_Halle,6,2
/systemsomicslab/MassBank-RDF/tree/main,5,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,5,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/rdf-config/prefix.yaml,5,1
