url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,22,3
/systemsomicslab/MassBank-RDF/tree/main/rdf-config,20,3
/systemsomicslab/MassBank-RDF/blob/main/rdf-config/model.yaml,19,2
/systemsomicslab/MassBank-RDF,14,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,11,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/nishida/MSBNK-CASMI_2016-SM828451.ttl,10,5
/systemsomicslab/MassBank-RDF/tree/main,10,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,9,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,8,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka/rdf-config,8,2
