url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,107,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,83,12
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,83,1
/systemsomicslab/MassBank-RDF,37,8
/systemsomicslab/MassBank-RDF/tree/main/scripts,23,5
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,22,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,16,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_PK.ttl,16,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_SP.ttl,16,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_EX.ttl,12,1
