url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,101,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,83,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,70,12
/systemsomicslab/MassBank-RDF,35,7
/systemsomicslab/MassBank-RDF/tree/main/scripts,23,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,19,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_PK.ttl,16,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_SP.ttl,16,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,14,2
/systemsomicslab/MassBank-RDF/blob/main/scripts/get_classyfire_json.py,13,1
