url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,24,2
/systemsomicslab/MassBank-RDF,13,8
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/schema.svg,13,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,10,3
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/sparql_example.txt,5,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/prefix.yaml,4,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl/CC_BY_SA,3,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/CC0/HBM4EU/MSBNK-HBM4EU-HB000101.ttl,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/MassBank_RDF_ttl/CC_BY_SA/AAFC/MSBNK-AAFC-AC000001.ttl,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/schema.svg,2,1
