url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF,20,11
/systemsomicslab/MassBank-RDF/blob/github-repo-stats/systemsomicslab/MassBank-RDF/ghrs-data/views_clones_aggregate.csv,6,2
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF,5,3
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF/latest-report,5,3
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF/ghrs-data,5,2
/systemsomicslab/MassBank-RDF/tree/github-repo-stats,4,3
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/MassBank_RDF_ttl,4,1
/systemsomicslab/MassBank-RDF/blob/github-repo-stats/systemsomicslab/MassBank-RDF/latest-report/report.pdf,3,3
/systemsomicslab/MassBank-RDF/tree/github-repo-stats/systemsomicslab/MassBank-RDF/ghrs-data/snapshots,3,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/ogawa/MSBNK-AAFC-AC000001.ttl,2,2
