url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/scripts/SPARQLWrapper4privateVirtuoso.ipynb,18,2
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/oka,9,1
/systemsomicslab/MassBank-RDF,8,5
/systemsomicslab/MassBank-RDF/tree/main/scripts,6,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,5,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/Draft_RIKEN_IMS.ttl,4,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_DE.ttl,4,1
/systemsomicslab/MassBank-RDF/blob/main/README.md,4,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_CM.ttl,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/oka/RIKEN_IMS_EX.ttl,2,1
