time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,14,5,1,1
2026-04-27 00:00:00+00:00,2,2,15,4
2026-04-28 00:00:00+00:00,13,3,1,1
2026-04-29 00:00:00+00:00,45,11,0,0
2026-04-30 00:00:00+00:00,37,9,1,1
2026-05-01 00:00:00+00:00,33,8,13,2
2026-05-02 00:00:00+00:00,47,12,0,0
2026-05-03 00:00:00+00:00,16,6,1,1
2026-05-04 00:00:00+00:00,14,4,0,0
2026-05-05 00:00:00+00:00,29,9,0,0
2026-05-06 00:00:00+00:00,7,2,0,0
2026-05-07 00:00:00+00:00,30,9,0,0
2026-05-08 00:00:00+00:00,37,12,1,1
2026-05-09 00:00:00+00:00,29,11,8,1
