url_path,views_total,views_unique
/systemsomicslab/MassBank-RDF/blob/main/scripts/get_classyfire_json.py,16,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl,11,2
/systemsomicslab/MassBank-RDF,6,4
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/kawashima,6,2
/systemsomicslab/MassBank-RDF/tree/main,4,2
/systemsomicslab/MassBank-RDF/tree/main/scripts,4,1
/systemsomicslab/MassBank-RDF/tree/main/draft_ttl/nishida,3,1
/systemsomicslab/MassBank-RDF/graphs/commit-activity,2,2
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000001.ttl,2,1
/systemsomicslab/MassBank-RDF/blob/main/draft_ttl/kawashima/MSBNK-AAFC-AC000002.ttl,2,1
